RegionID,RegionName,RegionType,StateName,2020-10,2020-11,2020-12,2021-01
20328,San Bernardino,City,CA,342657.0,347551.0,353415.0,359515.0
51405,Chula Vista,City,CA,592684.0,604116.0,616283.0,628740.0
26922,Saint Petersburg,City,FL,251258.0,254321.0,257103.0,259900.0
53856,Pensacola,City,FL,167291.0,169172.0,170713.0,173038.0
5573,Lawrenceville,City,GA,249685.0,252564.0,255635.0,259031.0
398849,Madison,City,WI,296398.0,299276.0,301460.0,303924.0
41760,Winston-Salem,City,NC,163196.0,165039.0,167260.0,169689.0
6210,Norfolk,City,VA,221243.0,223063.0,225031.0,226809.0
18298,Glendale,City,AZ,278227.0,283620.0,289031.0,295318.0
54346,Scottsdale,City,AZ,562579.0,572130.0,582292.0,594314.0
52001,Fayetteville,City,NC,133680.0,135314.0,137071.0,138840.0
3737,Boise,City,ID,382956.0,393939.0,406579.0,419836.0
52650,Irvine,City,CA,917868.0,924621.0,933518.0,941598.0
52893,Laredo,City,TX,164033.0,162578.0,161915.0,162457.0
20362,Sarasota,City,FL,295513.0,298743.0,301735.0,305111.0
44564,Chesapeake,City,VA,293330.0,296669.0,299796.0,302447.0
31614,Fort Myers,City,FL,230294.0,232087.0,234192.0,236022.0
18251,Garland,City,TX,219942.0,222628.0,225429.0,226890.0
7204,Spring,City,TX,227502.0,229663.0,231749.0,234312.0
4888,Gilbert,City,AZ,393339.0,399858.0,406645.0,414739.0
26187,North Las Vegas,City,NV,287218.0,289547.0,291525.0,293752.0
11540,Fremont,City,CA,1160664.0,1175165.0,1185990.0,1190877.0
54311,Santa Clarita,City,CA,610334.0,616509.0,622297.0,627868.0
24741,Fontana,City,CA,450844.0,456747.0,463782.0,471260.0
12065,Irving,City,TX,248554.0,250975.0,253484.0,254385.0
30258,Arlington,City,VA,780524.0,786125.0,789822.0,791173.0
7222,Springfield,City,MO,158538.0,160412.0,162676.0,164782.0
10417,Birmingham,City,AL,72732.0,74216.0,75683.0,77244.0
24960,Greenville,City,SC,218470.0,220383.0,222118.0,224304.0
26967,Santa Rosa,City,CA,617862.0,626239.0,633380.0,637032.0
13150,Oxnard,City,CA,541929.0,547591.0,552404.0,559881.0
6752,Richmond,City,VA,257102.0,259296.0,261899.0,264368.0
17759,Des Moines,City,IA,155106.0,156270.0,157163.0,158193.0
53673,Ocala,City,FL,168190.0,169657.0,170846.0,171999.0
10477,Boca Raton,City,FL,365630.0,368335.0,371172.0,374074.0
40897,Shreveport,City,LA,115154.0,115217.0,115136.0,115029.0
14701,Woodbridge,City,VA,367861.0,371598.0,375503.0,381959.0
32931,Montgomery,City,AL,98829.0,99794.0,100776.0,101698.0
44282,Bradenton,City,FL,251546.0,254009.0,256926.0,260035.0
24225,Corona,City,CA,540890.0,548077.0,554567.0,562457.0
6285,Oceanside,City,CA,595081.0,603979.0,612979.0,622547.0
27362,Tacoma,City,WA,384934.0,391068.0,397268.0,403028.0
11671,Grand Rapids,City,MI,201690.0,203572.0,205331.0,207490.0
24821,Gainesville,City,FL,212503.0,214735.0,216861.0,218652.0
34937,Yonkers,City,NY,559488.0,565760.0,571601.0,576772.0
45457,Glendale,City,CA,938885.0,946720.0,952867.0,958767.0
10210,Augusta,City,GA,124061.0,126022.0,128064.0,130111.0
25981,Moreno Valley,City,CA,378528.0,383649.0,388288.0,393934.0
30141,Akron,City,OH,81109.0,82423.0,83690.0,84977.0
10215,Aurora,City,IL,199171.0,201148.0,203430.0,205467.0
21320,Wilmington,City,NC,261340.0,263090.0,264122.0,265563.0
25218,Huntington Beach,City,CA,915833.0,925047.0,936166.0,946271.0
12014,Huntsville,City,AL,196660.0,199083.0,201443.0,203757.0
16753,Amarillo,City,TX,142515.0,144171.0,145757.0,147611.0
38438,Eugene,City,OR,363602.0,368768.0,373351.0,378711.0
6909,Salt Lake City,City,UT,454337.0,461347.0,469239.0,474416.0
33501,Port Saint Lucie,City,FL,247051.0,249244.0,251504.0,254080.0
54288,Salinas,City,CA,561011.0,566827.0,573464.0,579272.0
52998,Little Rock,City,AR,159493.0,159640.0,159967.0,160956.0
4764,Fort Collins,City,CO,440836.0,443681.0,446742.0,450198.0
18518,Hayward,City,CA,733478.0,742997.0,749737.0,753225.0
51167,Brownsville,City,TX,113623.0,115507.0,116866.0,118205.0
47426,Rockford,City,IL,99699.0,101074.0,102724.0,103954.0
31471,Evansville,City,IN,140933.0,143074.0,145423.0,147621.0
14724,Worcester,City,MA,288301.0,293035.0,297033.0,300963.0
40202,Overland Park,City,KS,333722.0,336828.0,339422.0,342364.0
5534,Lancaster,City,CA,334196.0,339168.0,344057.0,348911.0
20317,Salem,City,OR,318194.0,322250.0,326282.0,329729.0
24832,Garden Grove,City,CA,689456.0,697332.0,706502.0,714595.0
31821,Grand Prairie,City,TX,234092.0,236322.0,238641.0,240167.0
30381,Beaverton,City,OR,438140.0,444171.0,449480.0,453610.0
11337,Escondido,City,CA,586946.0,596246.0,605324.0,614769.0
26637,Providence,City,RI,270292.0,273879.0,277190.0,279771.0
31606,Fort Lauderdale,City,FL,358738.0,361866.0,365276.0,367761.0
13108,Ontario,City,CA,483962.0,490264.0,497856.0,505883.0
17539,Columbus,City,GA,114096.0,115420.0,116691.0,118204.0
7087,Sioux Falls,City,SD,233514.0,235462.0,237333.0,239180.0
4054,Charleston,City,SC,353394.0,356467.0,359449.0,361907.0
18847,Kissimmee,City,FL,242891.0,244640.0,246612.0,248550.0
37837,Chattanooga,City,TN,190356.0,193422.0,196571.0,200182.0
47958,Tempe,City,AZ,342297.0,348086.0,354546.0,362042.0
19523,Murfreesboro,City,TN,275741.0,277847.0,280410.0,283704.0
40492,Rancho Cucamonga,City,CA,581863.0,588894.0,597183.0,606069.0
30742,Cape Coral,City,FL,249817.0,252444.0,255541.0,258396.0
47584,Savannah,City,GA,190857.0,192421.0,194185.0,196051.0
11529,Fredericksburg,City,VA,332710.0,336968.0,342057.0,347113.0
5424,Killeen,City,TX,145039.0,146615.0,148264.0,150113.0
40227,Palmdale,City,CA,361119.0,366042.0,370972.0,375815.0
6792,Roanoke,City,VA,180489.0,182523.0,183974.0,185623.0
